DATA;HORA;PRECIPITACAO_TOTAL;PRESSAO_ATMOSFERICA_NA_ESTACAO;IRRADICAO_GLOBAL;TEMPERATURA_AR;TEMPERATURA_MAX;TEMPERATURA_MIN;DIRECAO_VENTO;RAJADA_MAX_VENTO;VELOCIDADE_VENTO
2006-03-18;10;0.0;912.1;42.0;19.8;19.8;18.7;122;2.4;1.1
2006-03-18;11;0.0;912.3;453.0;22.3;22.3;19.8;82;2.8;1.6
2006-03-18;12;0.0;912.4;1470.0;24.5;24.5;22.2;58;4.1;2.5
2006-03-18;13;0.0;912.5;2165.0;25.7;26.1;24.1;45;5.8;3.6
2006-03-18;14;0.0;911.9;2760.0;27.5;27.7;25.7;41;5.9;3.2
2006-03-18;15;0.0;911.8;2968.0;28.5;28.5;27.2;53;6.8;2.6
2006-03-18;16;0.0;911.1;2304.0;28.7;29.0;27.8;101;6.6;2.5
2006-03-18;17;0.0;910.4;962.0;27.3;29.6;27.3;71;6.8;2.5
2006-03-18;18;0.0;909.5;453.0;24.9;27.5;24.8;252;6.0;1.9
2006-03-18;19;0.6;909.5;1226.0;23.6;28.5;22.9;73;10.3;0.7
2006-03-18;20;0.0;909.1;467.0;25.2;25.3;23.6;98;5.3;3.1
2006-03-18;21;0.0;909.8;329.0;23.9;25.2;23.8;104;6.0;3.6
2006-03-19;10;0.0;911.5;48.0;18.9;18.9;18.1;9;0.0;0.0
2006-03-19;11;0.2;912.0;401.0;21.1;21.1;18.8;23;2.5;0.8
2006-03-19;12;0.0;912.2;1414.0;22.5;22.5;21.0;14;3.6;1.6
2006-03-19;13;0.0;912.3;1845.0;24.3;24.5;22.5;65;4.6;2.7
2006-03-19;14;0.0;911.9;2411.0;25.2;25.8;24.2;99;6.3;3.3
2006-03-19;15;0.0;911.6;2555.0;26.3;26.8;25.0;48;6.7;3.0
2006-03-19;16;0.0;911.0;2169.0;27.5;27.5;25.7;80;6.4;3.4
2006-03-19;17;0.0;910.4;3004.0;27.8;28.2;26.4;88;7.0;3.2
2006-03-19;18;0.0;910.1;1594.0;26.3;27.8;25.3;2;8.5;3.5
2006-03-19;19;0.0;909.5;1029.0;25.5;26.5;25.4;122;7.1;2.3
2006-03-19;20;0.0;909.4;576.0;25.3;26.0;25.1;72;6.8;3.3
2006-03-19;21;0.0;909.5;408.0;23.6;25.4;23.6;90;8.4;3.9
2006-03-20;10;0.0;911.9;36.0;18.8;18.8;18.6;314;2.2;0.7
2006-03-20;11;0.0;912.2;397.0;20.7;20.7;18.8;332;2.4;1.2
2006-03-20;12;0.0;912.4;884.0;22.5;22.5;20.7;15;3.4;1.7
2006-03-20;13;0.0;912.6;1265.0;24.7;24.8;22.5;344;5.0;2.5
2006-03-20;14;0.0;912.3;1913.0;26.1;26.1;24.4;319;7.2;3.0
2006-03-20;15;0.0;911.8;3100.0;27.6;27.6;26.1;288;7.5;4.1
2006-03-20;16;0.0;911.2;3064.0;28.4;28.8;27.1;321;8.0;3.0
2006-03-20;17;0.0;910.2;3149.0;29.5;29.7;28.2;304;8.0;2.5
2006-03-20;18;0.0;909.5;1294.0;27.6;29.8;27.6;302;6.2;3.4
2006-03-20;19;0.0;909.2;516.0;26.3;27.5;26.3;262;6.1;2.8
2006-03-20;20;0.0;909.5;446.0;25.4;26.3;25.4;212;5.5;1.8
2006-03-20;21;0.0;909.7;338.0;24.2;25.4;24.2;169;4.8;1.8
2006-03-21;10;0.0;912.7;28.0;19.7;19.7;19.4;112;2.6;1.0
2006-03-21;11;0.0;913.4;258.0;20.6;20.6;19.7;154;2.5;0.9
2006-03-21;12;0.0;913.7;756.0;22.0;22.0;20.5;120;3.4;1.9
2006-03-21;13;0.0;913.9;1961.0;24.4;24.4;22.0;108;4.7;2.6
2006-03-21;14;0.0;913.8;2409.0;26.3;26.7;24.4;79;4.6;2.0
2006-03-21;15;0.0;913.4;2424.0;26.9;26.9;25.6;66;6.0;2.9
2006-03-21;16;0.0;912.5;1657.0;26.6;27.3;25.9;66;6.0;3.0
2006-03-21;17;0.0;911.8;735.0;23.7;26.8;23.7;136;7.7;2.3
2006-03-21;18;1.2;912.2;75.0;21.9;23.7;21.9;5;5.7;1.7
2006-03-21;19;1.4;912.0;96.0;21.4;21.9;21.4;89;6.7;3.1
2006-03-21;20;0.6;912.3;259.0;21.1;21.5;21.1;88;6.7;2.7
2006-03-21;21;0.2;912.8;79.0;20.5;21.2;20.5;107;6.1;2.7
2006-03-22;10;0.0;913.7;41.0;19.6;19.6;19.3;167;1.9;0.5
2006-03-22;11;0.0;914.2;329.0;20.3;20.4;19.6;106;3.3;1.8
2006-03-22;12;0.0;914.7;658.0;21.3;21.5;20.2;106;3.3;1.7
2006-03-22;13;0.0;914.9;656.0;22.0;22.0;21.1;84;4.0;2.4
2006-03-22;14;0.0;914.7;1536.0;23.0;23.6;22.0;66;4.7;2.1
2006-03-22;15;0.0;914.6;1135.0;23.9;24.0;22.9;73;4.1;1.6
2006-03-22;16;0.0;914.0;1295.0;24.4;24.7;23.5;73;4.1;2.0
2006-03-22;17;0.0;912.9;2276.0;25.1;25.7;24.2;122;5.3;3.0
2006-03-22;18;0.0;912.4;345.0;23.9;25.1;23.9;63;5.1;1.9
2006-03-22;19;0.0;912.0;447.0;23.7;23.9;23.1;49;3.5;1.4
2006-03-22;20;0.0;911.9;627.0;23.3;23.7;23.1;42;3.8;1.9
2006-03-22;21;0.0;912.0;357.0;22.7;23.8;22.7;87;4.1;2.3
2006-03-23;10;0.0;912.6;60.0;19.9;19.9;19.2;71;2.8;1.5
2006-03-23;11;0.0;913.3;436.0;20.6;20.8;19.9;347;4.3;2.7
2006-03-23;12;0.0;913.3;1299.0;22.6;22.7;20.5;358;4.7;2.9
2006-03-23;13;0.0;913.0;1603.0;24.3;24.3;22.2;329;6.1;3.1
2006-03-23;14;0.0;912.6;2660.0;24.9;25.3;24.2;337;6.7;3.3
2006-03-23;15;0.0;911.8;1752.0;25.4;25.4;24.7;332;6.5;3.1
2006-03-23;16;0.0;911.1;2117.0;26.3;26.5;25.3;315;8.9;3.7
2006-03-23;17;0.0;910.1;1923.0;26.0;26.9;25.5;318;9.6;3.5
2006-03-23;18;0.0;909.2;1638.0;26.1;27.3;25.9;300;7.3;3.6
2006-03-23;19;0.0;909.4;288.0;23.3;26.1;23.3;296;11.7;6.0
2006-03-23;20;2.4;909.0;309.0;22.2;23.3;21.0;256;11.7;2.4
2006-03-23;21;0.8;908.9;138.0;21.6;22.2;21.4;269;4.8;1.8
2006-03-24;10;0.0;909.0;28.0;20.3;20.3;20.1;299;4.1;1.8
2006-03-24;11;0.0;909.7;438.0;22.3;22.3;20.3;276;3.7;1.9
2006-03-24;12;0.0;910.5;938.0;22.9;23.0;22.3;286;8.5;4.4
2006-03-24;13;0.0;910.9;1279.0;23.4;23.4;22.5;299;9.5;5.4
2006-03-24;14;0.0;910.5;2411.0;25.1;25.4;23.4;292;9.1;5.3
2006-03-24;15;0.0;910.0;2040.0;26.5;26.5;24.6;288;10.3;5.4
2006-03-24;16;0.2;909.6;2111.0;26.1;27.1;24.5;269;11.4;4.0
2006-03-24;17;0.0;908.4;2190.0;27.1;27.1;24.3;286;10.5;5.0
2006-03-24;18;0.0;908.0;2085.0;27.6;28.0;27.0;271;8.4;4.6
2006-03-24;19;0.0;907.8;1068.0;26.5;28.5;25.9;257;7.6;3.0
2006-03-24;20;0.0;908.0;490.0;24.8;26.6;24.8;336;5.2;2.5
2006-03-24;21;0.0;908.4;393.0;23.8;25.8;23.8;360;5.6;2.7
2006-03-25;10;0.0;911.0;41.0;20.7;20.7;20.2;108;1.8;0.3
2006-03-25;11;0.0;911.8;270.0;21.1;21.2;20.7;91;2.7;1.8
2006-03-25;12;0.0;911.8;685.0;22.5;22.6;21.1;91;3.0;1.8
2006-03-25;13;0.0;912.0;383.0;22.9;22.9;22.2;65;3.6;1.7
2006-03-25;14;1.6;911.8;817.0;23.6;23.6;21.9;90;3.7;1.7
2006-03-25;15;0.0;911.1;849.0;22.4;24.1;22.1;98;7.0;4.0
2006-03-25;16;6.4;910.7;180.0;20.3;22.4;20.1;151;7.4;3.3
2006-03-25;17;14.8;910.4;201.0;19.3;20.3;19.2;119;9.8;3.7
2006-03-25;18;4.8;910.6;158.0;19.6;19.7;19.3;182;7.3;1.1
2006-03-25;19;10.0;910.8;81.0;18.0;19.7;18.0;129;7.0;3.0
2006-03-25;20;5.8;911.1;91.0;17.2;18.0;17.1;117;7.4;2.4
2006-03-25;21;2.4;911.6;46.0;17.6;17.6;17.2;137;4.1;1.1
2006-03-26;10;0.0;913.6;23.0;17.0;17.1;17.0;132;3.9;2.0
2006-03-26;11;0.0;914.4;126.0;17.3;17.3;17.0;111;4.8;1.8
2006-03-26;12;0.0;915.0;509.0;18.5;18.5;17.3;137;6.2;2.7
2006-03-26;13;0.0;915.2;818.0;19.1;19.1;18.5;142;6.0;2.4
2006-03-26;14;0.0;915.2;1054.0;19.4;19.6;18.8;140;5.9;2.1
2006-03-26;15;0.4;915.1;920.0;18.6;19.5;18.4;130;8.3;4.0
2006-03-26;16;0.0;914.6;1179.0;18.6;19.6;18.6;122;9.6;4.8
2006-03-26;17;0.0;914.3;572.0;17.7;18.8;17.6;127;9.0;4.3
2006-03-26;18;0.0;914.1;711.0;18.0;18.5;17.6;123;9.4;3.6
2006-03-26;19;0.0;914.0;378.0;17.8;18.1;17.8;122;9.0;4.3
2006-03-26;20;0.0;914.0;291.0;17.4;17.8;17.4;140;10.4;2.9
2006-03-26;21;0.0;914.2;71.0;16.3;17.4;16.3;134;10.3;3.6
2006-03-27;10;0.2;915.4;21.0;15.6;15.6;15.5;96;5.9;2.6
2006-03-27;11;0.0;916.4;141.0;15.8;15.9;15.6;104;5.1;2.6
2006-03-27;12;0.0;916.9;246.0;16.1;16.1;15.7;110;5.9;2.8
2006-03-27;13;0.0;917.1;709.0;16.9;17.1;16.1;93;6.0;3.1
2006-03-27;14;0.0;917.0;977.0;17.7;17.8;16.9;106;6.0;3.6
2006-03-27;15;0.0;916.5;1126.0;18.5;18.7;17.7;104;6.4;2.8
2006-03-27;16;0.0;915.6;1531.0;19.2;19.7;18.4;100;7.4;3.7
2006-03-27;17;0.0;915.1;911.0;19.6;19.6;19.0;80;6.8;3.3
2006-03-27;18;0.0;914.8;781.0;18.8;19.8;18.7;115;6.2;2.9
2006-03-27;19;0.0;914.5;317.0;18.2;18.8;17.9;90;6.2;2.4
2006-03-27;20;0.0;914.6;205.0;17.5;18.3;17.5;73;5.2;2.2
2006-03-27;21;0.2;914.7;50.0;16.6;17.5;16.5;122;4.1;1.7
2006-03-28;10;0.0;913.5;37.0;17.3;17.3;17.2;46;4.1;2.0
2006-03-28;11;0.0;913.6;310.0;18.2;18.2;17.3;39;4.9;2.2
2006-03-28;12;0.0;913.5;1198.0;20.4;20.6;18.1;34;6.3;2.8
2006-03-28;13;0.0;913.5;1304.0;21.0;21.1;19.8;60;5.5;1.9
2006-03-28;14;0.0;913.3;1157.0;22.0;22.0;20.6;313;4.1;1.9
2006-03-28;15;0.0;912.4;2194.0;23.1;23.6;21.5;2;5.9;3.0
2006-03-28;16;0.0;911.5;2543.0;23.9;24.3;23.0;8;6.1;2.6
2006-03-28;17;0.0;910.5;1906.0;24.2;25.4;23.9;319;5.9;2.6
2006-03-28;18;0.0;909.4;822.0;24.9;25.4;24.0;296;6.4;3.7
2006-03-28;19;0.0;908.7;1545.0;25.3;26.1;24.7;315;6.4;2.5
2006-03-28;20;0.0;908.3;860.0;24.7;25.5;24.7;345;5.0;1.8
2006-03-28;21;0.0;907.9;226.0;24.0;24.9;24.0;27;4.0;1.7
2006-03-29;10;0.2;906.7;10.0;18.2;18.2;18.0;327;3.6;0.2
2006-03-29;11;0.6;907.1;177.0;18.8;18.8;18.2;307;2.5;1.6
2006-03-29;12;0.0;907.2;429.0;19.7;19.7;18.8;261;3.3;1.5
2006-03-29;13;0.2;907.4;439.0;20.5;20.5;19.7;272;4.6;2.1
2006-03-29;14;0.0;907.0;1061.0;21.5;21.6;20.5;324;5.2;3.4
2006-03-29;15;0.0;906.9;1048.0;22.3;22.4;20.8;272;6.8;3.4
2006-03-29;16;0.2;906.4;1083.0;22.0;22.3;21.1;242;9.1;4.9
2006-03-29;17;0.0;906.2;2358.0;22.9;23.2;22.0;236;9.3;4.6
2006-03-29;18;0.0;905.8;1246.0;22.6;23.0;21.5;206;8.6;2.6
2006-03-29;19;0.0;905.9;970.0;21.6;23.0;21.5;226;6.3;3.8
2006-03-29;20;0.0;906.1;777.0;22.0;22.1;21.4;168;6.6;2.8
2006-03-29;21;0.0;906.8;334.0;20.8;22.1;20.8;159;6.5;2.3
2006-04-04;10;0.0;915.2;16.0;15.4;15.4;15.1;117;4.3;2.0
2006-04-04;11;0.0;915.8;574.0;17.2;17.2;15.4;83;5.1;3.0
2006-04-04;12;0.0;916.0;1399.0;18.5;18.5;17.2;78;8.4;5.0
2006-04-04;13;0.0;916.1;2248.0;19.9;20.1;18.5;74;10.1;5.0
2006-04-04;14;0.0;915.9;2612.0;20.5;20.6;19.5;88;10.1;4.0
2006-04-04;15;0.0;915.5;2976.0;20.9;21.5;20.5;100;7.9;4.2
2006-04-04;16;0.0;914.8;2667.0;21.5;22.1;20.1;100;6.9;3.7
2006-04-04;17;0.0;914.1;3011.0;22.2;22.5;21.5;92;7.3;4.2
2006-04-04;18;0.0;913.7;2607.0;22.4;22.8;22.0;105;8.1;3.6
2006-04-04;19;0.0;913.1;1856.0;21.7;22.5;21.7;97;7.7;4.4
2006-04-04;20;0.0;912.9;1181.0;20.6;21.8;20.6;100;8.1;4.1
2006-04-04;21;0.0;913.2;334.0;19.0;20.8;19.0;91;7.6;3.1
2006-04-05;10;0.0;913.5;47.0;14.6;14.6;14.2;330;2.9;1.5
2006-04-05;11;0.0;913.9;332.0;15.8;15.8;14.6;27;3.2;1.4
2006-04-05;12;0.0;914.5;959.0;17.7;18.2;15.8;79;3.7;2.1
2006-04-05;13;0.0;914.5;1626.0;20.0;20.0;17.2;83;4.5;1.9
2006-04-05;14;0.0;913.9;1334.0;20.1;20.3;19.1;74;4.6;2.1
2006-04-05;15;0.0;913.6;1808.0;21.6;21.6;19.8;54;7.3;2.9
2006-04-05;16;0.0;913.1;1632.0;22.0;22.1;20.8;62;5.4;1.9
2006-04-05;17;0.0;912.5;1589.0;22.9;23.1;21.6;79;5.6;2.7
2006-04-05;18;0.0;911.9;1393.0;21.6;23.2;21.4;28;5.6;3.0
2006-04-05;19;0.0;911.5;714.0;22.1;22.3;21.6;57;5.5;1.7
2006-04-05;20;0.0;911.5;461.0;20.8;22.1;20.8;96;5.9;3.4
2006-04-05;21;0.0;911.2;101.0;19.5;20.8;19.5;75;5.9;2.9
2006-04-06;10;0.0;912.1;25.0;16.2;16.2;15.5;73;1.1;0.5
2006-04-06;11;0.0;912.7;257.0;17.2;17.2;16.2;18;1.9;0.9
2006-04-06;12;0.0;913.0;903.0;18.7;18.8;17.2;43;2.5;1.5
2006-04-06;13;0.0;913.1;1010.0;19.7;19.8;18.7;52;3.9;1.8
2006-04-06;14;0.0;913.0;912.0;21.1;21.1;19.6;85;3.6;1.2
2006-04-06;15;0.0;912.4;1766.0;22.0;22.8;20.8;73;4.2;1.1
2006-04-06;16;0.0;911.6;1240.0;22.4;22.8;21.9;64;3.8;1.2
2006-04-06;17;0.0;910.9;879.0;21.4;22.7;21.4;121;6.6;3.8
2006-04-06;18;0.4;910.5;624.0;20.1;21.5;20.1;107;6.2;3.1
2006-04-06;19;0.8;910.8;310.0;18.8;20.1;18.8;124;5.7;2.1
2006-04-06;20;0.4;910.8;128.0;18.4;18.8;18.4;102;4.5;2.1
2006-04-06;21;0.0;911.0;64.0;18.3;18.5;18.3;105;4.8;2.4
2006-04-07;10;0.0;911.2;10.0;17.2;17.2;16.7;73;0.0;0.0
2006-04-07;11;0.0;911.9;140.0;17.8;17.8;17.2;75;2.6;1.5
2006-04-07;12;0.0;912.4;476.0;18.4;18.5;17.8;111;3.6;2.2
2006-04-07;13;0.0;912.5;1306.0;20.3;20.3;18.4;48;3.8;1.7
2006-04-07;14;0.0;912.4;2048.0;21.9;22.1;20.4;68;5.7;2.7
2006-04-07;15;0.0;911.8;1086.0;21.3;21.9;21.0;31;5.8;2.8
2006-04-07;16;0.0;911.3;630.0;21.2;21.7;21.0;57;4.6;2.1
2006-04-07;17;0.0;910.7;265.0;20.7;21.2;20.6;84;4.0;2.0
2006-04-07;18;0.0;910.5;370.0;20.9;21.1;20.6;92;3.8;2.3
2006-04-07;19;0.0;910.2;596.0;21.1;21.3;20.8;110;4.1;2.1
2006-04-07;20;0.0;910.4;384.0;20.4;21.1;20.4;97;4.5;2.2
2006-04-07;21;0.0;910.5;113.0;19.9;20.5;19.9;92;4.1;2.1
2006-04-08;10;0.0;910.9;19.0;18.0;18.0;17.8;332;1.7;0.7
2006-04-08;11;0.0;911.4;156.0;18.7;18.8;18.0;98;1.7;0.5
2006-04-08;12;0.0;911.7;687.0;20.1;20.3;18.7;3;2.7;1.7
2006-04-08;13;0.0;911.4;1574.0;22.0;22.0;20.1;341;5.2;2.4
2006-04-08;14;0.0;911.4;2133.0;23.4;23.8;22.0;300;5.5;2.9
2006-04-08;15;0.0;910.7;1925.0;23.3;24.1;22.7;274;6.8;3.8
2006-04-08;16;0.0;909.9;2343.0;24.2;24.7;23.3;280;7.1;3.5
2006-04-08;17;0.0;909.0;2204.0;25.0;25.0;23.7;298;7.0;3.4
2006-04-08;18;0.0;908.5;2287.0;26.2;26.2;24.3;288;6.4;2.3
2006-04-08;19;0.0;908.3;1600.0;25.9;26.8;25.1;237;5.2;2.9
2006-04-08;20;0.0;908.0;1163.0;25.7;26.2;25.4;214;6.1;2.8
2006-04-08;21;0.0;908.6;327.0;23.5;25.8;23.5;196;6.6;3.0
2006-04-09;10;0.0;908.2;14.0;17.0;17.0;16.8;60;4.3;2.3
2006-04-09;11;0.0;908.7;139.0;17.5;17.6;17.0;30;4.9;2.2
2006-04-09;12;0.0;908.9;568.0;18.8;18.8;17.5;12;4.1;1.7
2006-04-09;13;0.0;908.1;1977.0;21.1;21.7;18.8;54;5.2;2.8
2006-04-09;14;0.0;907.9;1763.0;22.3;22.6;21.1;10;5.6;2.6
2006-04-09;15;0.0;907.1;2328.0;24.5;24.5;22.3;327;5.7;2.5
2006-04-09;16;0.0;906.6;1718.0;24.4;25.1;24.0;329;7.1;2.5
2006-04-09;17;0.0;906.2;924.0;23.3;24.4;23.3;294;5.7;3.5
2006-04-09;18;0.0;906.0;383.0;22.5;23.4;22.3;319;8.7;3.1
2006-04-09;19;0.0;906.4;349.0;18.0;22.6;18.0;236;9.7;5.2
2006-04-09;20;0.0;906.6;250.0;16.9;18.1;16.9;205;9.8;2.3
2006-04-09;21;0.0;906.0;76.0;17.4;17.4;16.9;48;5.3;2.5
2006-04-10;10;0.0;905.1;18.0;13.5;13.8;13.1;262;1.1;0.0
2006-04-10;11;0.0;905.6;312.0;14.5;14.5;13.5;308;4.0;2.4
2006-04-10;12;0.0;906.0;1321.0;17.4;17.5;14.6;315;4.2;2.3
2006-04-10;13;0.0;906.3;1961.0;17.7;18.0;17.0;307;5.6;3.2
2006-04-10;14;0.0;906.2;2519.0;19.7;19.7;17.4;294;6.3;2.7
2006-04-10;15;0.0;905.5;2934.0;20.0;20.7;19.2;287;6.8;3.7
2006-04-10;16;0.0;904.8;2725.0;22.6;22.6;20.0;284;6.8;3.1
2006-04-10;17;0.0;904.1;2602.0;23.7;24.5;22.2;303;7.7;3.4
2006-04-10;18;0.0;903.8;998.0;22.6;23.7;22.4;278;7.5;4.0
2006-04-10;19;0.0;903.7;881.0;22.8;22.8;21.9;238;7.2;1.6
2006-04-10;20;0.0;903.8;441.0;21.4;22.9;21.4;227;7.3;3.4
2006-04-10;21;1.0;904.6;46.0;17.9;21.4;17.9;252;7.3;1.1
2006-04-11;10;0.0;905.8;23.0;14.4;14.4;14.2;232;2.9;1.0
2006-04-11;11;0.0;906.5;553.0;16.7;16.7;14.4;247;4.0;2.4
2006-04-11;12;0.0;906.9;1320.0;18.4;18.4;16.7;234;5.8;3.6
2006-04-11;13;0.0;907.3;1780.0;19.7;19.7;18.3;248;6.3;2.7
2006-04-11;14;0.0;907.1;2187.0;20.0;20.9;19.6;242;6.8;3.6
2006-04-11;15;0.0;906.7;1484.0;21.4;21.6;19.7;257;6.8;3.0
2006-04-11;16;0.0;906.2;1918.0;21.6;22.5;21.1;256;8.3;3.8
2006-04-11;17;0.0;905.6;2251.0;22.3;23.6;21.4;264;8.9;3.7
2006-04-11;18;0.0;905.6;1637.0;23.2;23.8;21.8;251;9.5;5.2
2006-04-11;19;0.0;905.6;1739.0;23.8;24.0;23.1;256;9.2;4.1
2006-04-11;20;0.0;905.5;966.0;23.0;23.9;22.7;261;7.9;2.9
2006-04-11;21;0.0;905.7;258.0;21.6;23.2;21.6;264;6.2;2.5
2006-04-12;10;0.2;908.3;22.0;13.8;13.8;13.4;113;0.0;0.0
2006-04-12;11;0.0;909.0;469.0;16.9;16.9;13.8;185;2.3;0.9
2006-04-12;12;0.0;909.5;1245.0;18.9;18.9;16.9;232;4.0;2.2
2006-04-12;13;0.0;909.5;1956.0;20.2;20.2;18.9;223;5.0;2.5
2006-04-12;14;0.0;909.4;2623.0;21.9;22.2;20.2;244;5.7;2.8
2006-04-12;15;0.0;908.9;2469.0;22.5;23.0;21.5;255;5.8;3.6
2006-04-12;16;0.0;908.2;2770.0;23.5;24.5;22.4;250;7.2;3.7
2006-04-12;17;0.0;907.8;1484.0;22.9;24.3;22.9;245;7.6;3.3
2006-04-12;18;0.0;907.5;1313.0;23.5;24.2;22.9;251;7.9;3.3
2006-04-12;19;0.0;907.5;1334.0;24.5;24.6;23.1;256;8.1;3.9
2006-04-12;20;0.0;907.4;1011.0;24.1;24.7;23.9;253;7.1;3.6
2006-04-12;21;0.0;907.7;295.0;22.2;24.2;22.2;229;6.4;2.2
2006-04-13;10;0.0;910.1;24.0;12.4;12.5;12.3;78;1.7;1.0
2006-04-13;11;0.0;910.9;429.0;14.9;14.9;12.4;61;2.2;1.2
2006-04-13;12;0.0;911.3;1283.0;18.0;18.0;14.9;85;2.1;0.9
